reporting_date|reporting_date_period_type|hierarchy_name|business_key1|business_key2|business_key3|business_key4|business_area|node_id_level1|node_name_level1|node_id_level2|node_name_level2|node_id_level3|node_name_level3|node_id_level4|node_name_level4|node_id_level5|node_name_level5|node_id_level6|node_name_level6|node_id_level7|node_name_level7|node_id_level8|node_name_level8|node_id_level9|node_name_level9
2017-05-30|1|Meijer Product Style Hierarchy|3292909||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS TREND SETTE|SKECHERS TREND SETTER||||
2017-05-30|1|Meijer Product Style Hierarchy|3292913||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS TREND SETTE|SKECHERS TREND SETTER||||
2017-05-30|1|Meijer Product Style Hierarchy|3292973||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS TREND SETTE|SKECHERS TREND SETTER||||
2017-05-30|1|Meijer Product Style Hierarchy|3321861||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012103|SLIPON CASL SHOE WMN|DR SCHOLLS HADLEY TW|DR SCHOLLS HADLEY TWIN||||
2017-05-30|1|Meijer Product Style Hierarchy|3321865||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012103|SLIPON CASL SHOE WMN|DR SCHOLLS HADLEY TW|DR SCHOLLS HADLEY TWIN||||
2017-05-30|1|Meijer Product Style Hierarchy|3327628||||product|0|ALL|L6-000009|SOFTLINES|L5-000047|WOMENS|L4-000852|WOMENS TOPS DRESSES NON OB|L3-002779|KNIT WOVEN TOPS JR NON OB|L2-011642|TANK TOPS JR|PF - 1766 - TUNIC LE|PF - 1766 - TUNIC LENGTH CAMI||||
2017-05-30|1|Meijer Product Style Hierarchy|3355389||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000441|HANDBAGS|L3-001829|WOMENS HANDBAGS|L2-015213|HANDBAGS CROSSBODY WMNS|MULTISAC MISTY URBCR|MULTISAC MISTY URBCROC||||
2017-05-30|1|Meijer Product Style Hierarchy|3357656||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|-76536-|-76536-||||
2017-05-30|1|Meijer Product Style Hierarchy|3357660||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|-76536-|-76536-||||
2017-05-30|1|Meijer Product Style Hierarchy|3411494||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS ELITE STATU|SKECHERS ELITE STATUS||||
2017-05-30|1|Meijer Product Style Hierarchy|3411498||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS ELITE STATU|SKECHERS ELITE STATUS||||
2017-05-30|1|Meijer Product Style Hierarchy|3534274||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS GO WALK ULT|SKECHERS GO WALK ULTIM||||
2017-05-30|1|Meijer Product Style Hierarchy|3534278||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS GO WALK ULT|SKECHERS GO WALK ULTIM||||
2017-05-30|1|Meijer Product Style Hierarchy|3562859||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|22459 BLK|22459 BLK||||
2017-05-30|1|Meijer Product Style Hierarchy|3562863||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|22459 BLK|22459 BLK||||
