reporting_date|reporting_date_period_type|product_key1|product_key2|product_key3|product_key4|product_name|product_description|product_sku_code|product_size|product_colour_code|product_colour|product_gender|product_age_group|brand_name|supplier_name|product_status
2017-05-24|0|32000056||||HORSE||56||||||||
2017-05-24|0|32000057||||MINI Q AND A ANIMALS||57||||||||
2017-05-24|0|32000058||||TRUCK||58||||||||
2017-05-24|0|32000059||||FOR ONE OR TWO||59||||||||
2017-05-24|0|32000060||||MISC. MIRS ADJUSTMENT||60||||||||
2017-05-24|0|32000061||||ROCK A BYE BRDS: I LOVE T||61||||||||
2017-05-24|0|32000062||||STICKY EYES LARGE FORMAT||62||||||||
2017-05-24|0|32000063||||COFFEE TABLE BOOK - HOROSCOPES||63||||||||
2017-05-24|0|32000064||||WITCH||64||||||||
2017-05-24|0|32000065||||MISC. MIRS ADJUSTMENT||65||||||||
2017-05-24|0|32000066||||B.C. CAVE-IN||66||||||||
2017-05-24|0|32000067||||I LOVE MY PETS||67||||||||
2017-05-24|0|32000068||||VEGETARIAN||68||||||||
2017-05-24|0|32000069||||VEHICLE SHAPED TRACTOR||69||||||||
2017-05-24|0|32000071||||DINOMITE STICKER FLYING||71||||||||
2017-05-24|0|32000072||||Q&A SERIES - MACHINES||72||||||||
2017-05-24|0|32000073||||FISH & SEAFOOD||73||||||||
2017-05-24|0|32000074||||FAIRY FERN||74||||||||
2017-05-24|0|32000075||||GREATEST EVER COOKBOOK||75||||||||
2017-05-24|0|32000076||||JOLLY CHRISTMAS||76||||||||
2017-05-24|0|32000077||||TRUCKS||77||||||||
2017-05-24|0|32000078||||MISC. MIRS ADJUSTMENT||78||||||||
2017-05-24|0|32000079||||ULTIMATE BK OF DINOS RED||79||||||||
2017-05-24|0|32000080||||OLD MACDONALD STICKERS - HENS||80||||||||
2017-05-24|0|32000081||||PRACTICAL COOKERY: CHICKEN||81||||||||
